------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[ 83] local 10.1.0.1 port 5001 connected with 10.3.0.1 port 54858
[ 84] local 10.1.0.1 port 5001 connected with 10.4.0.2 port 41932
[ 80] local 10.1.0.1 port 5001 connected with 10.2.0.1 port 39592
[ 81] local 10.1.0.1 port 5001 connected with 10.1.0.2 port 47354
[ 82] local 10.1.0.1 port 5001 connected with 10.2.0.2 port 58710
[ 85] local 10.1.0.1 port 5001 connected with 10.7.0.1 port 50944
[ 86] local 10.1.0.1 port 5001 connected with 10.4.0.1 port 40386
[ 88] local 10.1.0.1 port 5001 connected with 10.5.0.1 port 51106
[ 87] local 10.1.0.1 port 5001 connected with 10.7.0.2 port 33478
[ 89] local 10.1.0.1 port 5001 connected with 10.5.0.2 port 43520
[ 90] local 10.1.0.1 port 5001 connected with 10.6.0.2 port 48444
[ ID] Interval       Transfer     Bandwidth
[ 84]  0.0- 1.0 sec   349 KBytes  2.86 Mbits/sec
[ 80]  0.0- 1.0 sec  3.52 MBytes  29.6 Mbits/sec
[ 81]  0.0- 1.0 sec  1.90 MBytes  15.9 Mbits/sec
[ 86]  0.0- 1.0 sec  1.28 MBytes  10.7 Mbits/sec
[ 82]  0.0- 1.0 sec   667 KBytes  5.47 Mbits/sec
[ 89]  0.0- 1.0 sec   430 KBytes  3.52 Mbits/sec
[ 88]  0.0- 1.0 sec   872 KBytes  7.15 Mbits/sec
[ 87]  0.0- 1.0 sec   307 KBytes  2.51 Mbits/sec
[ 83]  0.0- 1.0 sec   544 KBytes  4.46 Mbits/sec
[ 90]  0.0- 1.0 sec   533 KBytes  4.37 Mbits/sec
[ 91] local 10.1.0.1 port 5001 connected with 10.6.0.1 port 57144
[ 92] local 10.1.0.1 port 5001 connected with 10.8.0.2 port 59560
[ 85]  0.0- 1.0 sec  22.6 KBytes   185 Kbits/sec
[ 84]  1.0- 2.0 sec  5.72 MBytes  47.9 Mbits/sec
[ 80]  1.0- 2.0 sec   154 KBytes  1.26 Mbits/sec
[ 81]  1.0- 2.0 sec  1.44 MBytes  12.1 Mbits/sec
[ 82]  1.0- 2.0 sec  33.9 KBytes   278 Kbits/sec
[ 86]  1.0- 2.0 sec   479 KBytes  3.93 Mbits/sec
[ 83]  1.0- 2.0 sec  9.90 KBytes  81.1 Kbits/sec
[ 88]  1.0- 2.0 sec   255 KBytes  2.09 Mbits/sec
[ 87]  1.0- 2.0 sec   691 KBytes  5.66 Mbits/sec
[ 89]  1.0- 2.0 sec   262 KBytes  2.14 Mbits/sec
[ 90]  1.0- 2.0 sec   178 KBytes  1.46 Mbits/sec
[ 85]  1.0- 2.0 sec   235 KBytes  1.92 Mbits/sec
[ 92]  0.0- 1.0 sec   820 KBytes  6.72 Mbits/sec
[ 83]  2.0- 3.0 sec   419 KBytes  3.43 Mbits/sec
[ 84]  2.0- 3.0 sec   235 KBytes  1.92 Mbits/sec
[ 80]  2.0- 3.0 sec   362 KBytes  2.97 Mbits/sec
[ 82]  2.0- 3.0 sec   252 KBytes  2.06 Mbits/sec
[ 86]  2.0- 3.0 sec   974 KBytes  7.98 Mbits/sec
[ 81]  2.0- 3.0 sec  1.40 MBytes  11.8 Mbits/sec
[ 88]  2.0- 3.0 sec   218 KBytes  1.78 Mbits/sec
[ 91]  0.0- 1.0 sec   105 KBytes   857 Kbits/sec
[ 87]  2.0- 3.0 sec   204 KBytes  1.67 Mbits/sec
[ 89]  2.0- 3.0 sec  1.05 MBytes  8.80 Mbits/sec
[ 90]  2.0- 3.0 sec   699 KBytes  5.72 Mbits/sec
[ 85]  2.0- 3.0 sec   201 KBytes  1.64 Mbits/sec
[ 92]  1.0- 2.0 sec   307 KBytes  2.51 Mbits/sec
[ 83]  3.0- 4.0 sec   902 KBytes  7.39 Mbits/sec
[ 84]  3.0- 4.0 sec   174 KBytes  1.42 Mbits/sec
[ 80]  3.0- 4.0 sec   925 KBytes  7.58 Mbits/sec
[ 81]  3.0- 4.0 sec   509 KBytes  4.17 Mbits/sec
[ 82]  3.0- 4.0 sec   597 KBytes  4.89 Mbits/sec
[ 85]  3.0- 4.0 sec   187 KBytes  1.53 Mbits/sec
[ 86]  3.0- 4.0 sec   553 KBytes  4.53 Mbits/sec
[ 88]  3.0- 4.0 sec   342 KBytes  2.80 Mbits/sec
[ 91]  1.0- 2.0 sec   143 KBytes  1.17 Mbits/sec
[ 90]  3.0- 4.0 sec  1.29 MBytes  10.8 Mbits/sec
[ 87]  3.0- 4.0 sec   303 KBytes  2.48 Mbits/sec
[ 89]  3.0- 4.0 sec   516 KBytes  4.23 Mbits/sec
[ 92]  2.0- 3.0 sec   584 KBytes  4.78 Mbits/sec
[ 91]  2.0- 3.0 sec  53.7 KBytes   440 Kbits/sec
[ 83]  4.0- 5.0 sec   164 KBytes  1.34 Mbits/sec
[ 84]  4.0- 5.0 sec   938 KBytes  7.68 Mbits/sec
[ 81]  4.0- 5.0 sec  1.61 MBytes  13.5 Mbits/sec
[ 86]  4.0- 5.0 sec   263 KBytes  2.15 Mbits/sec
[ 82]  4.0- 5.0 sec   288 KBytes  2.36 Mbits/sec
[ 80]  4.0- 5.0 sec   256 KBytes  2.10 Mbits/sec
[ 85]  4.0- 5.0 sec   897 KBytes  7.34 Mbits/sec
[ 88]  4.0- 5.0 sec   180 KBytes  1.47 Mbits/sec
[ 87]  4.0- 5.0 sec   659 KBytes  5.40 Mbits/sec
[ 90]  4.0- 5.0 sec   977 KBytes  8.00 Mbits/sec
[ 89]  4.0- 5.0 sec  89.1 KBytes   730 Kbits/sec
[ 92]  3.0- 4.0 sec   525 KBytes  4.30 Mbits/sec
[ 91]  3.0- 4.0 sec   165 KBytes  1.36 Mbits/sec
[ 83]  5.0- 6.0 sec   680 KBytes  5.57 Mbits/sec
[ 80]  5.0- 6.0 sec   427 KBytes  3.50 Mbits/sec
[ 85]  5.0- 6.0 sec   437 KBytes  3.58 Mbits/sec
[ 86]  5.0- 6.0 sec   433 KBytes  3.54 Mbits/sec
[ 88]  5.0- 6.0 sec   259 KBytes  2.12 Mbits/sec
[ 82]  5.0- 6.0 sec   175 KBytes  1.44 Mbits/sec
[ 84]  5.0- 6.0 sec   635 KBytes  5.20 Mbits/sec
[ 81]  5.0- 6.0 sec  1.08 MBytes  9.08 Mbits/sec
[ 87]  5.0- 6.0 sec   846 KBytes  6.93 Mbits/sec
[ 89]  5.0- 6.0 sec  1.04 MBytes  8.75 Mbits/sec
[ 92]  4.0- 5.0 sec   559 KBytes  4.58 Mbits/sec
[ 91]  4.0- 5.0 sec   218 KBytes  1.78 Mbits/sec
[ 90]  5.0- 6.0 sec   287 KBytes  2.35 Mbits/sec
[ 83]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec
[ 81]  6.0- 7.0 sec   600 KBytes  4.91 Mbits/sec
[ 82]  6.0- 7.0 sec   419 KBytes  3.43 Mbits/sec
[ 85]  6.0- 7.0 sec   205 KBytes  1.68 Mbits/sec
[ 80]  6.0- 7.0 sec   482 KBytes  3.95 Mbits/sec
[ 84]  6.0- 7.0 sec  86.3 KBytes   707 Kbits/sec
[ 88]  6.0- 7.0 sec   542 KBytes  4.44 Mbits/sec
[ 86]  6.0- 7.0 sec   624 KBytes  5.11 Mbits/sec
[ 87]  6.0- 7.0 sec   880 KBytes  7.21 Mbits/sec
[ 89]  6.0- 7.0 sec   395 KBytes  3.23 Mbits/sec
[ 90]  6.0- 7.0 sec   212 KBytes  1.74 Mbits/sec
[ 91]  5.0- 6.0 sec  1007 KBytes  8.25 Mbits/sec
[ 92]  5.0- 6.0 sec   663 KBytes  5.43 Mbits/sec
[ 84]  7.0- 8.0 sec   420 KBytes  3.44 Mbits/sec
[ 82]  7.0- 8.0 sec   502 KBytes  4.11 Mbits/sec
[ 83]  7.0- 8.0 sec   338 KBytes  2.77 Mbits/sec
[ 86]  7.0- 8.0 sec   608 KBytes  4.98 Mbits/sec
[ 80]  7.0- 8.0 sec  1020 KBytes  8.35 Mbits/sec
[ 81]  7.0- 8.0 sec   143 KBytes  1.17 Mbits/sec
[ 88]  7.0- 8.0 sec   229 KBytes  1.88 Mbits/sec
[ 85]  7.0- 8.0 sec   834 KBytes  6.83 Mbits/sec
[ 87]  7.0- 8.0 sec   209 KBytes  1.71 Mbits/sec
[ 90]  7.0- 8.0 sec   249 KBytes  2.04 Mbits/sec
[ 89]  7.0- 8.0 sec   940 KBytes  7.70 Mbits/sec
[ 91]  6.0- 7.0 sec   669 KBytes  5.48 Mbits/sec
