PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=4.65 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=6.89 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=2.96 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=3.79 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=2.32 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=2.60 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=0.371 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=4.14 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=4.07 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=4.49 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=6.91 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=6.07 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=0.793 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=5.28 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=2.14 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=2.88 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=4.85 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=2.00 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.179 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.180 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.384 ms
