PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=4.69 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=2.16 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=3.64 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=2.11 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=1.88 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=4.55 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=2.86 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=2.87 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=2.13 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=5.22 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=3.73 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=2.14 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=6.80 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=1.83 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=0.152 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=1.09 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=3.59 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=2.43 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.164 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.177 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=2.63 ms
