PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=10.8 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=3.53 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=3.68 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=3.19 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=7.32 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=2.66 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=2.05 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=3.06 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=1.89 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=1.55 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=5.53 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=5.36 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=3.51 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=1.90 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=3.45 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=4.98 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=0.755 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=1.56 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=2.18 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=15.9 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=0.175 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=0.209 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=0.337 ms
