------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[ 81] local 10.1.0.1 port 5001 connected with 10.1.0.2 port 48186
[ 82] local 10.1.0.1 port 5001 connected with 10.6.0.2 port 37974
[ 83] local 10.1.0.1 port 5001 connected with 10.2.0.2 port 40104
[ 80] local 10.1.0.1 port 5001 connected with 10.2.0.1 port 60710
[ 84] local 10.1.0.1 port 5001 connected with 10.4.0.1 port 58872
[ 85] local 10.1.0.1 port 5001 connected with 10.3.0.2 port 43028
[ 88] local 10.1.0.1 port 5001 connected with 10.6.0.1 port 59800
[ 86] local 10.1.0.1 port 5001 connected with 10.5.0.2 port 52744
[ 87] local 10.1.0.1 port 5001 connected with 10.3.0.1 port 56240
[ 89] local 10.1.0.1 port 5001 connected with 10.4.0.2 port 33352
[ ID] Interval       Transfer     Bandwidth
[ 82]  0.0- 1.0 sec   669 KBytes  5.48 Mbits/sec
[ 83]  0.0- 1.0 sec  1.69 MBytes  14.1 Mbits/sec
[ 80]  0.0- 1.0 sec  2.46 MBytes  20.6 Mbits/sec
[ 84]  0.0- 1.0 sec  1.05 MBytes  8.80 Mbits/sec
[ 85]  0.0- 1.0 sec  2.12 MBytes  17.8 Mbits/sec
[ 88]  0.0- 1.0 sec   723 KBytes  5.92 Mbits/sec
[ 86]  0.0- 1.0 sec  1.07 MBytes  8.95 Mbits/sec
[ 87]  0.0- 1.0 sec  1.24 MBytes  10.4 Mbits/sec
[ 81]  0.0- 1.0 sec   716 KBytes  5.87 Mbits/sec
[ 90] local 10.1.0.1 port 5001 connected with 10.8.0.1 port 52486
[ 91] local 10.1.0.1 port 5001 connected with 10.7.0.2 port 44298
[ 92] local 10.1.0.1 port 5001 connected with 10.8.0.2 port 57202
[ 93] local 10.1.0.1 port 5001 connected with 10.7.0.1 port 37732
[ 89]  0.0- 1.0 sec  63.6 KBytes   521 Kbits/sec
[ 81]  1.0- 2.0 sec   499 KBytes  4.09 Mbits/sec
[ 82]  1.0- 2.0 sec   390 KBytes  3.20 Mbits/sec
[ 83]  1.0- 2.0 sec  1.61 MBytes  13.5 Mbits/sec
[ 80]  1.0- 2.0 sec  2.04 MBytes  17.1 Mbits/sec
[ 84]  1.0- 2.0 sec   990 KBytes  8.11 Mbits/sec
[ 85]  1.0- 2.0 sec  2.09 MBytes  17.5 Mbits/sec
[ 86]  1.0- 2.0 sec  1021 KBytes  8.36 Mbits/sec
[ 87]  1.0- 2.0 sec  1.24 MBytes  10.4 Mbits/sec
[ 88]  1.0- 2.0 sec   666 KBytes  5.46 Mbits/sec
[ 90]  0.0- 1.0 sec   314 KBytes  2.57 Mbits/sec
[ 92]  0.0- 1.0 sec   260 KBytes  2.13 Mbits/sec
[ 93]  0.0- 1.0 sec   238 KBytes  1.95 Mbits/sec
[ 89]  1.0- 2.0 sec  74.9 KBytes   614 Kbits/sec
[ 91]  0.0- 1.0 sec   264 KBytes  2.17 Mbits/sec
[ 81]  2.0- 3.0 sec   465 KBytes  3.81 Mbits/sec
[ 82]  2.0- 3.0 sec   385 KBytes  3.15 Mbits/sec
[ 80]  2.0- 3.0 sec  1.68 MBytes  14.1 Mbits/sec
[ 85]  2.0- 3.0 sec  1.83 MBytes  15.4 Mbits/sec
[ 83]  2.0- 3.0 sec  1.61 MBytes  13.5 Mbits/sec
[ 84]  2.0- 3.0 sec  1024 KBytes  8.39 Mbits/sec
[ 88]  2.0- 3.0 sec   636 KBytes  5.21 Mbits/sec
[ 86]  2.0- 3.0 sec  1.05 MBytes  8.79 Mbits/sec
[ 87]  2.0- 3.0 sec  1.25 MBytes  10.5 Mbits/sec
[ 93]  1.0- 2.0 sec   288 KBytes  2.36 Mbits/sec
[ 89]  2.0- 3.0 sec  89.1 KBytes   730 Kbits/sec
[ 92]  1.0- 2.0 sec   274 KBytes  2.25 Mbits/sec
[ 90]  1.0- 2.0 sec   440 KBytes  3.60 Mbits/sec
[ 91]  1.0- 2.0 sec   342 KBytes  2.80 Mbits/sec
[ 82]  3.0- 4.0 sec   535 KBytes  4.38 Mbits/sec
[ 83]  3.0- 4.0 sec  1.54 MBytes  12.9 Mbits/sec
[ 80]  3.0- 4.0 sec  1.49 MBytes  12.5 Mbits/sec
[ 84]  3.0- 4.0 sec   897 KBytes  7.34 Mbits/sec
[ 86]  3.0- 4.0 sec   902 KBytes  7.39 Mbits/sec
[ 87]  3.0- 4.0 sec  1.61 MBytes  13.5 Mbits/sec
[ 85]  3.0- 4.0 sec  1.55 MBytes  13.0 Mbits/sec
[ 88]  3.0- 4.0 sec   636 KBytes  5.21 Mbits/sec
[ 81]  3.0- 4.0 sec   734 KBytes  6.01 Mbits/sec
[ 90]  2.0- 3.0 sec   535 KBytes  4.38 Mbits/sec
